"name";"gender";"birthDate";"birthCity";"birthCountry";"birthContinent";"awardYear";"category";"awardDate";"motivation";"prizeAmount";"prizeAmountAdjusted"
"Thomas C. Südhof";"male";"1955-12-22";"Göttingen";"Germany";"Europe";"2013";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells";8000000;8517568
"Thomas H. Morgan";"male";"1866-09-25";"Lexington, KY";"USA";"North America";"1933";"The Nobel Prize in Physiology or Medicine";NA;"for his discoveries concerning the role played by the chromosome in heredity";170332;5511251
"Thomas H. Weller";"male";"1915-06-15";"Ann Arbor, MI";"USA";"North America";"1954";"The Nobel Prize in Physiology or Medicine";NA;"for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue";181647;2688094
"Thomas J. Sargent";"male";"1943-07-19";"Pasadena, CA";"USA";"North America";"2011";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2011-10-10";"for their empirical research on cause and effect in the macroeconomy";10000000;10736783
"Thomas Mann";"male";"1875-06-06";"Lübeck";"Germany";"Europe";"1929";"The Nobel Prize in Literature";NA;"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature";172760;4996952
"Thomas R. Cech";"male";"1947-12-08";"Chicago, IL";"USA";"North America";"1989";"The Nobel Prize in Chemistry";"1989-10-12";"for their discovery of catalytic properties of RNA";3000000;5337372
"Tim Hunt";"male";"1943-02-19";"Neston";"United Kingdom";"Europe";"2001";"The Nobel Prize in Physiology or Medicine";"2001-10-08";"for their discoveries of key regulators of the cell cycle";10000000;12518033
"Tjalling C. Koopmans";"male";"1910-08-28";"'s Graveland";"the Netherlands";"Europe";"1975";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1975-10-14";"for their contributions to the theory of optimum allocation of resources";630000;3465908
"Tobias Asser";"male";"1838-04-28";"Amsterdam";"the Netherlands";"Europe";"1911";"The Nobel Peace Prize";"1911-12-10";"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations";140695;7460743
"Tomas Lindahl";"male";"1938-01-28";"Stockholm";"Sweden";"Europe";"2015";"The Nobel Prize in Chemistry";"2015-10-07";"for mechanistic studies of DNA repair";8000000;8536613
"Tomas Tranströmer";"male";"1931-04-15";"Stockholm";"Sweden";"Europe";"2011";"The Nobel Prize in Literature";"2011-10-06";"because, through his condensed, translucent images, he gives us fresh access to reality";10000000;10736783
"Toni Morrison";"female";"1931-02-18";"Lorain, OH";"USA";"North America";"1993";"The Nobel Prize in Literature";NA;"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality";6700000;9208279
"Torsten N. Wiesel";"male";"1924-06-03";"Uppsala";"Sweden";"Europe";"1981";"The Nobel Prize in Physiology or Medicine";"1981-10-09";"for their discoveries concerning information processing in the visual system";1000000;2982813
"Toshihide Maskawa";"male";"1940-02-07";"Nagoya";"Japan";"Asia";"2008";"The Nobel Prize in Physics";"2008-10-07";"for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature";10000000;11124709
"Trygve Haavelmo";"male";"1911-12-13";"Skedsmo";"Norway";"Europe";"1989";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1989-10-11";"for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures";3000000;5337372
"Tsung-Dao Lee";"male";"1926-11-24";"Shanghai";"China";"Asia";"1957";"The Nobel Prize in Physics";NA;"for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles";208629;2746709
"Tu Youyou";"female";"1930-12-30";"Zhejiang Ningbo";"China";"Asia";"2015";"The Nobel Prize in Physiology or Medicine";NA;"for her discoveries concerning a novel therapy against Malaria";8000000;8536613
"Ulf von Euler";"male";"1905-02-07";"Stockholm";"Sweden";"Europe";"1970";"The Nobel Prize in Physiology or Medicine";"1970-10-15";"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation";400000;3235593
NA;NA;NA;NA;NA;NA;"2001";"The Nobel Peace Prize";"2001-10-12";"for their work for a better organized and more peaceful world";10000000;12518033
NA;NA;NA;NA;NA;NA;"1965";"The Nobel Peace Prize";"1965-10-26";"for its effort to enhance solidarity between nations and reduce the difference between rich and poor states";282000;2833358
NA;NA;NA;NA;NA;NA;"1988";"The Nobel Peace Prize";"1988-09-29";"for preventing armed clashes and creating conditions for negotiations";2500000;4729931
"V. S. Naipaul";NA;NA;NA;NA;NA;"2001";"The Nobel Prize in Literature";"2001-10-11";"for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories";10000000;12518033
"Val Fitch";NA;NA;NA;NA;NA;"1980";"The Nobel Prize in Physics";"1980-10-12";"for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons";880000;2942067
"Venkatraman Ramakrishnan";NA;NA;NA;NA;NA;"2009";"The Nobel Prize in Chemistry";"2009-10-07";"for studies of the structure and function of the ribosome";10000000;11157218
"Verner von Heidenstam";NA;NA;NA;NA;NA;"1916";"The Nobel Prize in Literature";"1916-11-09";"in recognition of his significance as the leading representative of a new era in our literature";131793;4933193
"Vernon L. Smith";NA;NA;NA;NA;NA;"2002";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"2002-10-09";"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms";10000000;12252888
"Vicente Aleixandre";NA;NA;NA;NA;NA;"1977";"The Nobel Prize in Literature";NA;"for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars";700000;3136854
"Victor F. Hess";NA;NA;NA;NA;NA;"1936";"The Nobel Prize in Physics";NA;"for his discovery of cosmic radiation";159850;5002519
"Victor Grignard";NA;NA;NA;NA;NA;"1912";"The Nobel Prize in Chemistry";NA;"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry";140476;6876120
"Vincent du Vigneaud";NA;NA;NA;NA;NA;"1955";"The Nobel Prize in Chemistry";"1955-11-02";"for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone";190214;2730214
"Vitaly L. Ginzburg";NA;NA;NA;NA;NA;"2003";"The Nobel Prize in Physics";"2003-10-07";"for pioneering contributions to the theory of superconductors and superfluids";10000000;12021411
"Vladimir Prelog";NA;NA;NA;NA;NA;"1975";"The Nobel Prize in Chemistry";"1975-10-17";"for his research into the stereochemistry of organic molecules and reactions";630000;3465908
"Walter Gilbert";NA;NA;NA;NA;NA;"1980";"The Nobel Prize in Chemistry";"1980-10-14";"for their contributions concerning the determination of base sequences in nucleic acids";880000;2942067
"Walter H. Brattain";NA;NA;NA;NA;NA;"1956";"The Nobel Prize in Physics";NA;"for their researches on semiconductors and their discovery of the transistor effect";200123;2748452
"Walter Hess";NA;NA;NA;NA;NA;"1949";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs";156290;2983576
"Walter Kohn";NA;NA;NA;NA;NA;"1998";"The Nobel Prize in Chemistry";"1998-10-13";"for his development of the density-functional theory";7600000;9889843
"Walther Bothe";NA;NA;NA;NA;NA;"1954";"The Nobel Prize in Physics";NA;"for the coincidence method and his discoveries made therewith";181647;2688094
"Walther Nernst";NA;NA;NA;NA;NA;"1920";"The Nobel Prize in Chemistry";NA;"in recognition of his work in thermochemistry";134100;2438066
"Wangari Maathai";NA;NA;NA;NA;NA;"2004";"The Nobel Peace Prize";"2004-10-08";"for her contribution to sustainable development, democracy and peace";10000000;11976161
"Wassily Leontief";NA;NA;NA;NA;NA;"1973";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";"1973-10-18";"for the development of the input-output method and for its application to important economic problems";510000;3392300
"Wendell M. Stanley";NA;NA;NA;NA;NA;"1946";"The Nobel Prize in Chemistry";NA;"for their preparation of enzymes and virus proteins in a pure form";121524;2549333
"Werner Arber";NA;NA;NA;NA;NA;"1978";"The Nobel Prize in Physiology or Medicine";NA;"for the discovery of restriction enzymes and their application to problems of molecular genetics";725000;2951013
"Werner Forssmann";NA;NA;NA;NA;NA;"1956";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning heart catheterization and pathological changes in the circulatory system";200123;2748452
"Werner Heisenberg";NA;NA;NA;NA;NA;"1932";"The Nobel Prize in Physics";NA;"for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen";171753;5375024
"Wilhelm Conrad Röntgen";"male";"1845-03-27";"Lennep";"Prussia";"Europe";"1901";"The Nobel Prize in Physics";NA;"in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him";150782;8722510
"Wilhelm Ostwald";"male";"1853-09-02";"Riga";"Russian Empire";"Europe";"1909";"The Nobel Prize in Chemistry";NA;"in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction";139800;7212924
"Wilhelm Wien";"male";"1864-01-13";"Gaffken";"Prussia";"Europe";"1911";"The Nobel Prize in Physics";NA;"for his discoveries regarding the laws governing the radiation of heat";140695;7460743
"Willard F. Libby";"male";"1908-12-17";"Grand Valley, CO";"USA";"North America";"1960";"The Nobel Prize in Chemistry";"1960-11-03";"for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science";225987;2713265
"Willard S. Boyle";"male";"1924-08-19";"Amherst, NS";"Canada";"North America";"2009";"The Nobel Prize in Physics";"2009-10-06";"for the invention of an imaging semiconductor circuit - the CCD sensor";10000000;11157218
"Willem Einthoven";"male";"1860-05-21";"Semarang";"Java, Dutch East Indies";"Asia";"1924";"The Nobel Prize in Physiology or Medicine";NA;"for his discovery of the mechanism of the electrocardiogram";116719;3276714
"William A. Fowler";"male";"1911-08-09";"Pittsburgh, PA";"USA";"North America";"1983";"The Nobel Prize in Physics";"1983-10-19";"for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe";1500000;3782695
"William B. Shockley";"male";"1910-02-13";"London";"United Kingdom";"Europe";"1956";"The Nobel Prize in Physics";NA;"for their researches on semiconductors and their discovery of the transistor effect";200123;2748452
"William Bragg";"male";"1862-07-02";"Wigton";"United Kingdom";"Europe";"1915";"The Nobel Prize in Physics";"1915-11-12";"for their services in the analysis of crystal structure by means of X-rays";149223;6330371
"William Butler Yeats";"male";"1865-06-13";"Dublin";"Ireland";"Europe";"1923";"The Nobel Prize in Literature";NA;"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation";114935;3226631
"William C. Campbell";"male";"1930-06-28";"Ramelton";"Ireland";"Europe";"2015";"The Nobel Prize in Physiology or Medicine";NA;"for their discoveries concerning a novel therapy against infections caused by roundworm parasites";8000000;8536613
"William D. Nordhaus";"male";"1941-05-31";"Albuquerque, NM";"USA";"North America";"2018";"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel";NA;"for integrating climate change into long-run macroeconomic analysis";9000000;9163200
"William D. Phillips";"male";"1948-11-05";"Wilkes-Barre, PA";"USA";"North America";"1997";"The Nobel Prize in Physics";"1997-10-15";"for development of methods to cool and trap atoms with laser light";7500000;9746426
"William E. Moerner";"male";"1953-06-24";"Pleasanton, CA";"USA";"North America";"2014";"The Nobel Prize in Chemistry";"2014-10-08";"for the development of super-resolved fluorescence microscopy";8000000;8531844
"William F. Giauque";"male";"1895-05-12";"Niagara Falls";"Canada";"North America";"1949";"The Nobel Prize in Chemistry";NA;"for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures";156290;2983576
